PMID,HCM_In_Title,HCM_In_Abstract,ECG_In_Title,ECG_In_Abstract,TI,AB
39772357,Yes,Yes,No,No,Demographic-Based Personalized Left Ventricular Hypertrophy Thresholds for Hypertrophic Cardiomyopathy Diagnosis.,"BACKGROUND: Hypertrophic cardiomyopathy (HCM) is a leading cause of sudden cardiac death. Current diagnosis emphasizes the detection of left ventricular hypertrophy (LVH) using a fixed threshold of >/=15-mm maximum wall thickness (MWT). This study proposes a method that considers individual demographics to adjust LVH thresholds as an alternative to a 1-size-fits-all approach. METHODS: Left ventricular MWT was measured in 3 cohorts: a Reference Cohort of healthy adults (n = 5,067, no comorbidities), a Population Cohort (n = 43,239, with comorbidities), and an HCM Cohort from 6 international centers (n = 2,424). Measurement used cardiovascular magnetic resonance (CMR) and a validated artificial intelligence algorithm. The Reference Cohort was used to developed demographically adjusted LVH thresholds, and individualized z-scores based on age, sex, and body surface area (BSA), which were used to explore the other cohorts. RESULTS: The traditional >/=15-mm threshold classified 4.3% (n = 1,854) of the Population Cohort as hypertrophic, with a significant sex skew (89% male). Demographic-adjusted LVH thresholds (range: 10-17 mm) reduced ascertainment to 2.2% (n = 945), reducing the sex skew (56% male). Similar reductions in bias with height, weight, and age also occurred. The HCM cohort was found to have a 2:1 male-to-female ratio. A significant proportion of patients received diagnoses of HCM despite having MWT below the traditional LVH threshold (<15 mm): 27% of female individuals and 18% of male individuals. Using demographic-adjusted LVH thresholds reduced these proportions to 7% of female individuals and 15% of male individuals (P < 0.0001). Female patients had lower absolute MWT (18 mm vs 19 mm; P < 0.001) but higher MWT z-scores (5.1 vs 4.5; P = 0.05). CONCLUSIONS: Age, sex, and body size influence the normal heart MWT. Using a fixed LVH threshold >/=15 mm biases LVH ascertainment in both population and HCM cohorts. A demographic-adjusted approach for LVH improves ascertainment and diagnostic accuracy."
39706305,Yes,Yes,No,No,Detection of late gadolinium enhancement in patients with hypertrophic cardiomyopathy using machine learning.,"BACKGROUND: Late gadolinium enhancement (LGE) on cardiac magnetic resonance (CMR) in hypertrophic cardiomyopathy (HCM) typically represents myocardial fibrosis and may lead to fatal ventricular arrhythmias. However, CMR is resource-intensive and sometimes contraindicated. Thus, in patients with HCM, we aimed to detect LGE on CMR by applying machine learning (ML) algorithm to clinical parameters. METHODS AND RESULTS: In this trans-Pacific multicenter study of HCM, a ML model was developed to distinguish the presence or absence of LGE on CMR by ridge classification method using 22 clinical parameters including 9 echocardiographic data. Among 742 patients in this cohort, the ML model was constructed in 2 institutions in the United States (training set, n = 554) and tested using data from an institution in Japan (test set, n = 188). LGE was detected in 299 patients (54%) in the training set and 76 patients (40%) in the test set. In the test set, the area under the receiver-operating-characteristic curve (AUC) of the ML model derived from the training set was 0.77 (95% confidence interval [CI] 0.70-0.84). When compared with a reference model constructed with 3 conventional risk factors for LGE on CMR (AUC 0.69 [95% CI 0.61-0.77]), the ML model outperformed the reference model (DeLong's test P = 0.01). CONCLUSIONS: This trans-Pacific study demonstrates that ML analysis of clinical parameters can distinguish the presence of LGE on CMR in patients with HCM. Our ML model would help physicians identify patients with HCM in whom the pre-test probability of LGE is high, and therefore CMR will have higher utility."
39701955,Yes,Yes,No,No,Identification and validation of differentially expressed disulfidptosis-related genes in hypertrophic cardiomyopathy.,"Hypertrophic cardiomyopathy (HCM) is one of the most common cardiovascular diseases with no effective treatment due to its complex pathogenesis. A novel cell death, disulfidptosis, has been extensively studied in the cancer field but rarely in cardiovascular diseases. This study revealed the potential relationship between disulfidptosis and hypertrophic cardiomyopathy and put forward a predictive model containing disulfidptosis-associated genes (DRGs) of GYS1, MYH10, PDMIL1, SLC3A2, CAPZB, showing excellent performance by SVM machine learning model. The results were further validated by western blot, RNA sequencing and immunohistochemistry in a TAC mice model. In addition, resveratrol was selected as a therapeutic drug targeting core genes using the CTD database. In summary, this study provides new perspectives for exploring disulfidptosis-related biomarkers and potential therapeutic targets for hypertrophic cardiomyopathy."
39698121,Yes,Yes,No,No,HCM-Echo-VAR-Ensemble: Deep Ensemble Fusion to Detect Hypertrophic Cardiomyopathy in Echocardiograms.,"Goal: To detect Hypertrophic Cardiomyopathy (HCM) from multiple views of Echocardiogram (cardiac ultrasound) videos. Methods: we propose HCM-Echo-VAR-Ensemble, a novel framework that performs binary classification (HCM vs. no HCM) of echocardiogram videos directly using an ensemble of state-of-the-art deep VAR architectures models (SlowFast and I3D), and fuses their predictions using majority averaging ensembling. Results: HCM-Echo-VAR-Ensemble achieved state-of-the-art accuracy of 95.28%, an F1-Score of 95.20%, a specificity of 96.20%, a sensitivity of 93.97%, a PPV of 96.46%, an NPV of 94.17%, and an AUC of 98.42%, outperforming a comprehensive set of baselines including other ensembling approaches. Conclusions: Our proposed HCM-Echo-VAR-Ensemble framework demonstrates significant potential for improving the sensitivity and accuracy of HCM detection in clinical settings, particularly by ensembling the complementary strengths of the SlowFast and I3D deep VAR models. This approach can enhance diagnostic consistency and accuracy, enabling reliable HCM diagnoses even in low-resource environments."
39694602,Yes,Yes,No,No,Prediction of new-onset atrial fibrillation in patients with hypertrophic cardiomyopathy using machine learning.,"AIMS: Atrial fibrillation (AF) is the most common sustained arrhythmia among patients with hypertrophic cardiomyopathy (HCM), leading to increased symptom burden and risk of thromboembolism. The HCM-AF score was developed to predict new-onset AF in patients with HCM, though sensitivity and specificity of this conventional tool are limited. Thus, there is a need for more accurate tools to predict new-onset AF in HCM. The objective of the present study was to develop a better model to predict new-onset AF in patients with HCM using machine learning (ML). METHODS AND RESULTS: In this prospective, multicentre cohort study, we enrolled 1069 patients with HCM without a prior history of AF. We built a ML model (logistic regression with Lasso regularization) using clinical variables. We developed the ML model using the cohort from one institution (training set) and applied it to an independent cohort from a separate institution (test set). We used the HCM-AF score as a reference model. We compared the area under the receiver-operating characteristic curve (AUC) between the ML model and the reference model using the DeLong's test. Median follow-up time was 2.1 years, with 128 (12%) patients developing new-onset AF. Using the ML model developed in the training set to predict new-onset AF, the AUC in the test set was 0.84 (95% confidence interval [CI] 0.77-0.91). The ML model outperformed the reference model (AUC 0.64; 95% CI 0.54-0.73; DeLong's p < 0.001). The ML model had higher sensitivity (0.82; 95% CI 0.65-0.93) than that of the reference model (0.67; 95% CI 0.52-0.88). The ML model also had higher specificity (0.76; 95% CI 0.71-0.81) than that of the reference model (0.57; 95% CI 0.41-0.70). Among the most important clinical variables included in the ML-based model were left atrial volume and diameter, left ventricular outflow tract gradient with exercise stress and at rest, late gadolinium enhancement on cardiac magnetic resonance imaging, peak heart rate during exercise stress, age at diagnosis, positive genotype, diabetes mellitus, and end-stage renal disease. CONCLUSION: Our ML model showed superior performance compared to the conventional HCM-AF score for the prediction of new-onset AF in patients with HCM."
39557527,Yes,Yes,No,No,[Study on predicting new onset heart failure events in patients with hypertrophic cardiomyopathy using machine learning algorithms based on clinical and magnetic resonance features].,"Objective: To explore the value of predicting new-onset heart failure events in patients with hypertrophic cardiomyopathy (HCM) using clinical and cardiac magnetic resonance (CMR) features based on machine learning algorithms. Methods: The study was a retrospective cohort study. Patients with a confirmed diagnosis of HCM who underwent CMR examinations at Beijing Anzhen Hospital from May 2017 to March 2021 were selected and randomly divided into the training set and the validation set in a ratio of 7ratio3. Clinical data and CMR parameters (including conventional parameters and radiomics features) were collected. The endpoint events were heart failure hospitalization and heart failure death, with follow-up ending in January 2023. Features with high stability and P value<0.05 in univariate Cox regression analysis were selected. Subsequently, three machine learning algorithms-random forest, decision tree, and XGBoost-were used to build heart failure event prediction models in the training set. The model performance was then evaluated using the independent validation set, with the performance assessed based on the concordance index. Results: A total of 462 patients were included, with a median age of 51 (39, 62) years, of whom 332 (71.9%) were male. There were 323 patients in the training set and 139 in the validation set. The median follow-up time was 42 (28, 52) months. A total of 44 patients (9.5% (44/462)) experienced endpoint events (8 cases of heart failure death and 36 cases of heart failure hospitalization), with 31 events in the training set and 13 in the validation set. Univariate Cox regression analysis identified 39 radiomic features, 4 conventional CMR parameters (left ventricular end-diastolic volume index, left ventricular end-systolic volume index, left ventricular ejection fraction, and late gadolinium enhancement ratio), and 1 clinical feature (history of non-sustained ventricular tachycardia) that could be included in the machine learning model. In the prediction models built with the training set, the concordance indices for the random forest, decision tree, and XGBoost models were 0.966 (95%CI 0.813-0.995), 0.956 (95%CI 0.796-0.992), and 0.973 (95%CI 0.823-0.996), respectively. In the validation set, the concordance indices for the random forest, decision tree, and XGBoost models were 0.854 (95%CI 0.557-0.964), 0.706 (95%CI 0.399-0.896), and 0.703 (95%CI 0.408-0.890), respectively. Conclusion: Integrating clinical and CMR features of HCM patients through machine learning aids in predicting heart failure events, with the random forest model showing superior performance."
39535387,Yes,Yes,No,No,Integration analysis using bioinformatics and experimental validation on cellular signalling for sex differences of hypertrophic cardiomyopathy.,"There is a paucity of research examining the molecular mechanisms underlying sex differences of clinical phenotypes and the prognosis in hypertrophic cardiomyopathy (HCM). The dataset GSE36961 was retrieved from Gene Expression Omnibus (GEO) database and comprehensive bioinformatics was employed to identify the core genes linked to sex differences in HCM patients. Additionally, gene set enrichment analysis (GSEA) was conducted to detect downstream signalling pathways. Furthermore, experimental validation was carried out using hearts from spontaneously hypertensive rats (SHRs). A comprehensive analysis revealed the identification of 208 differentially expressed genes (DEGs) in female patients with HCM with a notable downregulation of seven core genes. Notably, there were sex differences in the expression of ras dexamethasone-induced protein 1 (RASD1) and myosin 6 (MYH6) in HCM. Gene ontology (GO) analysis and GSEA demonstrated an enrichment of autophagy-related processes in disease progression in HCM females. Specifically, spearman's correlation analysis revealed a positive correlation between nicotinamide phosphoribosyl transferase (NAMPT) and RASD1 levels, particularly among female patients (R = 0.569, p < 0.001). Additionally, animal models confirmed that cardiac hypertrophy was more pronounced in SHR females compared to males. SHR females exhibited lower mRNA and protein expressions of RASD1 and NAMPT, which were associated with impaired autophagy. In this study, bioinformatics and validation using external data sets and animal models of left ventricular hypertrophy suggested that the RASD1/NAMPT axis is potentially a crucial mechanism underlying the elevated risk of cardiovascular disorders in HCM females, also pointing potentially prognostic biomarkers."
39459004,Yes,Yes,No,No,A Machine Learning Approach to Gene Expression in Hypertrophic Cardiomyopathy.,"BACKGROUND/OBJECTIVES: Hypertrophic cardiomyopathy (HCM) is a common heart disorder characterized by the thickening of the heart muscle, particularly in the left ventricle, which increases the risk of cardiac complications. This study aims to analyze the expression of apoptosis-regulating genes (CASP8, CASP9, CASP3, BAX, and BCL2) in blood samples from HCM patients, to better understand their potential as biomarkers for disease progression. METHODS: Quantitative real-time PCR (qPCR) was used to evaluate gene expression in blood samples from 93 HCM patients. The correlation between apoptosis-regulating genes was conducted and clinical parameters were integrated for feature importance and clustering analysis. RESULTS: Most patients exhibited significant downregulation of CASP8, CASP9, and CASP3. In contrast, BAX expression was elevated in 71 out of 93 patients, while BCL2 was increased in 55 out of 93 patients. Correlation analysis revealed weak negative correlations between the BAX/BCL2 ratio and CASP gene expression. CONCLUSIONS: These findings suggest that reduced expression of apoptotic genes may indicate a protective cellular mechanism, which could serve as a biomarker for disease progression. Further studies are needed to investigate the potential for therapeutic modulation of these pathways to improve patient outcomes."
39441047,Yes,Yes,No,No,Prediction of new-onset atrial fibrillation in patients with hypertrophic cardiomyopathy using plasma proteomics profiling.,"AIMS: Atrial fibrillation (AF) is the most common sustained arrhythmia among patients with hypertrophic cardiomyopathy (HCM), increasing symptom burden and stroke risk. We aimed to construct a plasma proteomics-based model to predict new-onset AF in patients with HCM and determine dysregulated signalling pathways. METHODS AND RESULTS: In this prospective, multi-centre cohort study, we conducted plasma proteomics profiling of 4986 proteins at enrolment. We developed a proteomics-based machine learning model to predict new-onset AF using samples from one institution (training set) and tested its predictive ability using independent samples from another institution (test set). We performed a survival analysis to compare the risk of new-onset AF among high- and low-risk groups in the test set. We performed pathway analysis of proteins significantly (univariable P < 0.05) associated with new-onset AF using a false discovery rate (FDR) threshold of 0.001. The study included 284 patients with HCM (training set: 193, test set: 91). Thirty-seven (13%) patients developed AF during median follow-up of 3.2 years [25-75 percentile: 1.8-5.2]. Using the proteomics-based prediction model developed in the training set, the area under the receiver operating characteristic curve was 0.89 (95% confidence interval 0.78-0.99) in the test set. In the test set, patients categorized as high risk had a higher rate of developing new-onset AF (log-rank P = 0.002). The Ras-MAPK pathway was dysregulated in patients who developed incident AF during follow-up (FDR < 1.0 x 10-6). CONCLUSION: This is the first study to demonstrate the ability of plasma proteomics to predict new-onset AF in HCM and identify dysregulated signalling pathways."
39396969,Yes,Yes,No,No,Deep learning of echocardiography distinguishes between presence and absence of late gadolinium enhancement on cardiac magnetic resonance in patients with hypertrophic cardiomyopathy.,"BACKGROUND: Hypertrophic cardiomyopathy (HCM) can cause myocardial fibrosis, which can be a substrate for fatal ventricular arrhythmias and subsequent sudden cardiac death. Although late gadolinium enhancement (LGE) on cardiac magnetic resonance (CMR) represents myocardial fibrosis and is associated with sudden cardiac death in patients with HCM, CMR is resource-intensive, can carry an economic burden, and is sometimes contraindicated. In this study for patients with HCM, we aimed to distinguish between patients with positive and negative LGE on CMR using deep learning of echocardiographic images. METHODS: In the cross-sectional study of patients with HCM, we enrolled patients who underwent both echocardiography and CMR. The outcome was positive LGE on CMR. Among the 323 samples, we randomly selected 273 samples (training set) and employed deep convolutional neural network (DCNN) of echocardiographic 5-chamber view to discriminate positive LGE on CMR. We also developed a reference model using clinical parameters with significant differences between patients with positive and negative LGE. In the remaining 50 samples (test set), we compared the area under the receiver-operating-characteristic curve (AUC) between a combined model using the reference model plus the DCNN-derived probability and the reference model. RESULTS: Among the 323 CMR studies, positive LGE was detected in 160 (50%). The reference model was constructed using the following 7 clinical parameters: family history of HCM, maximum left ventricular (LV) wall thickness, LV end-diastolic diameter, LV end-systolic volume, LV ejection fraction < 50%, left atrial diameter, and LV outflow tract pressure gradient at rest. The discriminant model combining the reference model with DCNN-derived probability significantly outperformed the reference model in the test set (AUC 0.86 [95% confidence interval 0.76-0.96] vs. 0.72 [0.57-0.86], P = 0.04). The sensitivity, specificity, positive predictive value, and negative predictive value of the combined model were 0.84, 0.76, 0.78, and 0.83, respectively. CONCLUSION: Compared to the reference model solely based on clinical parameters, our new model integrating the reference model and deep learning-based analysis of echocardiographic images demonstrated superiority in distinguishing LGE on CMR in patients with HCM. The novel deep learning-based method can be used as an assistive technology to facilitate the decision-making process of performing CMR with gadolinium enhancement."
