PMID;;;Title;Abstract;Authors;Journal;Publication Date;AuthorIdentified
39800435;CTCA;Plaque detection;End-to-end deep-learning model for the detection of coronary artery stenosis on coronary CT images.;PURPOSE: We examined whether end-to-end deep-learning models could detect moderate (>/=50%) or severe (>/=70%) stenosis in the left anterior descending artery (LAD), right coronary artery (RCA) or left circumflex artery (LCX) in iodine contrast-enhanced ECG-gated coronary CT angiography (CCTA) scans. METHODS: From a database of 6293 CCTA scans, we used pre-existing curved multiplanar reformations (CMR) images of the LAD, RCA and LCX arteries to create end-to-end deep-learning models for the detection of moderate or severe stenoses. We preprocessed the images by exploiting domain knowledge and employed a transfer learning approach using EfficientNet, ResNet, DenseNet and Inception-ResNet, with a class-weighted strategy optimised through cross-validation. Heatmaps were generated to indicate critical areas identified by the models, aiding clinicians in understanding the model's decision-making process. RESULTS: Among the 900 CMR cases, 279 involved the LAD artery, 259 the RCA artery and 253 the LCX artery. EfficientNet models outperformed others, with EfficientNetB3 and EfficientNetB0 demonstrating the highest accuracy for LAD, EfficientNetB2 for RCA and EfficientNetB0 for LCX. The area under the curve for receiver operating characteristic (AUROC) reached 0.95 for moderate and 0.94 for severe stenosis in the LAD. For the RCA, the AUROC was 0.92 for both moderate and severe stenosis detection. The LCX achieved an AUROC of 0.88 for the detection of moderate stenoses, though the calibration curve exhibited significant overestimation. Calibration curves matched probabilities for the LAD but showed discrepancies for the RCA. Heatmap visualisations confirmed the models' precision in delineating stenotic lesions. Decision curve analysis and net reclassification index assessments reinforced the efficacy of EfficientNet models, confirming their superior diagnostic capabilities. CONCLUSION: Our end-to-end deep-learning model demonstrates, for the LAD artery, excellent discriminatory ability and calibration during internal validation, despite a small dataset used to train the network. The model reliably produces precise, highly interpretable images.;['Gupta V', 'Petursson P', 'Rawshani A', 'Boren J', 'Ramunddal T', 'Bhatt DL', 'Omerovic E', 'Angeras O', 'Smith G', 'Sattar N', 'Andersson E', 'Redfors B', 'Hilgendorf L', 'Bergstrom G', 'Pirazzi C', 'Skoglund K', 'Rawshani A'];Open heart;2025 Jan 11;Rawshani
39477343;ECG;ACS detection;Predicting troponin biomarker elevation from electrocardiograms using a deep neural network.;BACKGROUND: Elevated troponin levels are a sensitive biomarker for cardiac injury. The quick and reliable prediction of troponin elevation for patients with chest pain from readily available ECGs may pose a valuable time-saving diagnostic tool during decision-making concerning this patient population. METHODS AND RESULTS: The data used included 15 856 ECGs from patients presenting to the emergency rooms with chest pain or dyspnoea at two centres in Sweden from 2015 to June 2023. All patients had high-sensitivity troponin test results within 6 hours after 12-lead ECG. Both troponin I (TnI) and TnT were used, with biomarker-specific cut-offs and sex-specific cut-offs for TnI. On this dataset, a residual convolutional neural network (ResNet) was trained 10 times, each on a unique split of the data. The final model achieved an average area under the curve for the receiver operating characteristic curve of 0.7717 (95% CI+/-0.0052), calibration curve analysis revealed a mean slope of 1.243 (95% CI+/-0.075) and intercept of -0.073 (95% CI+/-0.034), indicating a good correlation between prediction and ground truth. Post-classification, tuned for F1 score, accuracy was 71.43% (95% CI+/-1.28), with an F1 score of 0.5642 (95% CI+/-0.0052) and a negative predictive value of 0.8660 (95% CI+/-0.0048), respectively. The ResNet displayed comparable or surpassing metrics to prior presented models. CONCLUSION: The model exhibited clinically meaningful performance, notably its high negative predictive accuracy. Therefore, clinical use of comparable neural networks in first-line, quick-response triage of patients with chest pain or dyspnoea appears as a valuable option in future medical practice.;['Hilgendorf L', 'Petursson P', 'Gupta V', 'Ramunddal T', 'Andersson E', 'Lundgren P', 'Dworeck C', 'Ljungman C', 'Boren J', 'Rawshani A', 'Omerovic E', 'Smith G', 'Mandalenakis Z', 'Skoglund K', 'Rawshani A'];Open heart;2024 Oct 30;Rawshani
39449961;Echo;Strain imaging;Deep learning improves test-retest reproducibility of regional strain in echocardiography.;AIMS: The clinical utility of regional strain measurements in echocardiography is challenged by suboptimal reproducibility. In this study, we aimed to evaluate the test-retest reproducibility of regional longitudinal strain (RLS) per coronary artery perfusion territory (RLS(Territory)) and basal-to-apical level of the left ventricle (RLS(Level)), measured by a novel fully automated deep learning (DL) method based on point tracking. METHODS AND RESULTS: We measured strain in a dual-centre test-retest data set that included 40 controls and 40 patients with suspected non-ST elevation acute coronary syndrome. Two consecutive echocardiograms per subject were recorded by different operators. The reproducibility of RLS(Territory) and RLS(Level) measured by the DL method and by three experienced observers using semi-automatic software (2D Strain, EchoPAC, GE HealthCare) was evaluated as minimal detectable change (MDC). The DL method had MDC for RLS(Territory) and RLS(Level) ranging from 3.6 to 4.3%, corresponding to a 33-35% improved reproducibility compared with the inter- and intraobserver scenarios (MDC 5.5-6.4% and 4.9-5.4%). Furthermore, the DL method had a lower variance of test-retest differences for both RLS(Territory) and RLS(Level) compared with inter- and intraobserver scenarios (all P < 0.001). Bland-Altman analyses demonstrated superior reproducibility by the DL method for the whole range of strain values compared with the best observer scenarios. The feasibility of the DL method was 93% and measurement time was only 1 s per echocardiogram. CONCLUSION: The novel DL method provided fully automated measurements of RLS, with improved test-retest reproducibility compared with semi-automatic measurements by experienced observers. RLS measured by the DL method has the potential to advance patient care through a more detailed, more efficient, and less user-dependent clinical assessment of myocardial function.;['Nyberg J', 'Ostvik A', 'Salte IM', 'Olaisen S', 'Karlsen S', 'Dahlslett T', 'Smistad E', 'Eriksen-Volnes T', 'Brunvand H', 'Edvardsen T', 'Haugaa KH', 'Lovstakken L', 'Dalen H', 'Grenne B'];European heart journal. Imaging methods and practice;2024 Oct;Grenne
39293786;MRI;Plaque detection;Image navigator-based, automated coronary magnetic resonance angiography for the detection of coronary artery stenosis.;"BACKGROUND: Coronary computed tomography angiography (CCTA) is recommended as the first-line diagnostic imaging modality in low-to-intermediate-risk individuals suspected of stable coronary artery disease (CAD). However, CCTA exposes patients to ionizing radiation and potentially nephrotoxic contrast agents. Invasive coronary angiography is the gold-standard investigation to guide coronary revascularisation strategy; however, invasive procedures incur an inherent risk to the patient. Coronary magnetic resonance angiography (CMRA) avoids these issues. Nevertheless, clinical implementation is currently limited due to extended scanning durations, inconsistent image quality, and consequent lack of diagnostic accuracy. Several technical CMRA innovations, including advanced respiratory motion correction with 100% scan efficiency (no data rejection), fast image acquisition with motion-corrected undersampled image reconstruction, and deep-learning-based automated planning, have been implemented and now await clinical validation in multi-center trials. METHODS: The objective of the image navigator-based, automated CMRA prospective multi-center study is to evaluate the diagnostic accuracy of a newly developed, state-of-the-art, standardized, and automated CMRA framework compared to CCTA in 201 patients undergoing clinical investigation for CAD. The study protocol mandates the administration of oral beta-blockers to decrease heart rate to below 60 bpm and the use of sublingual nitroglycerine spray to induce vasodilation. Additionally, the study incorporates the utilization of standardized postprocessing with sliding-thin-slab multiplanar reformatting, in combination with evaluation of the source images, to optimize the visualization of coronary artery stenosis. DISCUSSION: If proven effective, CMRA could provide a non-invasive, needle-free, yet also clinically viable, alternative to CCTA. TRIAL REGISTRATION: This study is registered at ClinicalTrials.gov (NCT05473117).";['Wood G', 'Hajhosseiny R', 'Pedersen AU', 'Littlewood S', 'Hansen TJ', 'Neji R', 'Kunze KP', 'Wetzl J', 'Norgaard BL', 'Jensen JM', 'Maeng M', 'Madsen PL', 'Vejlstrup N', 'Prieto C', 'Botnar RM', 'Kim WY'];Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance;2024 Winter;Vejlstrup
39142467;Clinical data;Survival model;Prediction of neurologic outcome after out-of-hospital cardiac arrest: An interpretable approach with machine learning.;Out-of-hospital cardiac arrest (OHCA) is a critical condition with low survival rates. In patients with a return of spontaneous circulation, brain injury is a leading cause of death. In this study, we propose an interpretable machine learning approach for predicting neurologic outcome after OHCA, using information available at the time of hospital admission. METHODS: The study population were 55 615 OHCA cases registered in the Swedish Cardiopulmonary Resuscitation Registry between 2010 and 2020. The dataset was split to training and validation sets (for model development) and test set (for evaluation of the final model). We used an XGBoost algorithm with stratified, repeated 10-fold cross-validation along with Optuna framework for hyperparameters tuning. The final model was trained on 10 features selected based on the importance scores and evaluated on the test set in terms of discrimination, calibration and bias-variance tradeoff. We used SHapley Additive exPlanations to address the 'black-box' model and align with eXplainable artificial intelligence. RESULTS: The final model achieved: area under the receiver operating characteristic value 0.964 (95% confidence interval (CI) [0.960-0.968]), sensitivity 0.606 (95% CI [0.573-0.634]), specificity 0.975 (95% CI [0.972-0.978]), positive predictive value (PPV) 0.664 (95% CI [0.625-0.696]), negative predictive value (NPV) 0.969 (95% CI [0.966-0.972]), macro F1 0.803 (95% CI [0.788-0.816]), and showed a very good calibration. SHAP features with the highest impact on the model's output were:'ROSC on arrival to hospital', 'Initial rhythm asystole' and 'Conscious on arrival to hospital'. CONCLUSIONS: The XGBoost machine learning model with 10 features available at the time of hospital admission showed good performance for predicting neurologic outcome after OHCA, with no apparent signs of overfitting.;['Rawshani A', 'Hessulf F', 'Deminger J', 'Sultanian P', 'Gupta V', 'Lundgren P', 'Mohammed M', 'Abu Alchay M', 'Sioland T', 'Gryska E', 'Piasecki A'];Resuscitation;2024 Sep;Rawshani
39122609;Echo;MR quantification;EasyPISA: Automatic Integrated PISA Measurements of Mitral Regurgitation From 2-D Color-Doppler Using Deep Learning.;OBJECTIVE: The proximal isovelocity surface area (PISA) method is a well-established approach for mitral regurgitation (MR) quantification. However, it exhibits high inter-observer variability and inaccuracies in cases of non-hemispherical flow convergence and non-holosystolic MR. To address this, we present EasyPISA, a framework for automated integrated PISA measurements taken directly from 2-D color-Doppler sequences. METHODS: We trained convolutional neural networks (UNet/Attention UNet) on 1171 images from 196 recordings (54 patients) to detect and segment flow convergence zones in 2-D color-Doppler images. Different preprocessing schemes and model architectures were compared. Flow convergence surface areas were estimated, accounting for non-hemispherical convergence, and regurgitant volume (RVol) was computed by integrating the flow rate over time. EasyPISA was retrospectively applied to 26 MR patient examinations, comparing results with reference PISA RVol measurements, severity grades, and cMRI RVol measurements for 13 patients. RESULTS: The UNet trained on duplex images achieved the best results (precision: 0.63, recall: 0.95, dice: 0.58, flow rate error: 10.4 ml/s). Mitigation of false-positive segmentation on the atrial side of the mitral valve was achieved through integration with a mitral valve segmentation network. The intraclass correlation coefficient was 0.83 between EasyPISA and PISA, and 0.66 between EasyPISA and cMRI. Relative standard deviations were 46% and 53%, respectively. Receiver operator characteristics demonstrated a mean area under the curve between 0.90 and 0.97 for EasyPISA RVol estimates and reference severity grades. CONCLUSION: EasyPISA demonstrates promising results for fully automated integrated PISA measurements in MR, offering potential benefits in workload reduction and mitigating inter-observer variability in MR assessment.;['Wifstad SV', 'Kildahl HA', 'Holte E', 'Berg EAR', 'Grenne B', 'Salvesen O', 'Dalen H', 'Lovstakken L'];Ultrasound in medicine & biology;2024 Nov;Grenne
39044786;Echo;Ventricular function;Fully automatic estimation of global left ventricular systolic function using deep learning in transoesophageal echocardiography.;AIMS: To improve monitoring of cardiac function during major surgery and intensive care, we have developed a method for fully automatic estimation of mitral annular plane systolic excursion (auto-MAPSE) using deep learning in transoesophageal echocardiography (TOE). The aim of this study was a clinical validation of auto-MAPSE in patients with heart disease. METHODS AND RESULTS: TOE recordings were collected from 185 consecutive patients without selection on image quality. Deep-learning-based auto-MAPSE was trained and optimized from 105 patient recordings. We assessed auto-MAPSE feasibility, and agreement and inter-rater reliability with manual reference in 80 patients with and without electrocardiogram (ECG) tracings. Mean processing time for auto-MAPSE was 0.3 s per cardiac cycle/view. Overall feasibility was >90% for manual MAPSE and ECG-enabled auto-MAPSE and 82% for ECG-disabled auto-MAPSE. Feasibility in at least two walls was >/=95% for all methods. Compared with manual reference, bias [95% limits of agreement (LoA)] was -0.5 [-4.0, 3.1] mm for ECG-enabled auto-MAPSE and -0.2 [-4.2, 3.6] mm for ECG-disabled auto-MAPSE. Intra-class correlation coefficient (ICC) for consistency was 0.90 and 0.88, respectively. Manual inter-observer bias [95% LoA] was -0.9 [-4.7, 3.0] mm, and ICC was 0.86. CONCLUSION: Auto-MAPSE was fast and highly feasible. Inter-rater reliability between auto-MAPSE and manual reference was good. Agreement between auto-MAPSE and manual reference did not differ from manual inter-observer agreement. As the principal advantages of deep-learning-based assessment are speed and reproducibility, auto-MAPSE has the potential to improve real-time monitoring of left ventricular function. This should be investigated in relevant clinical settings.;['Berg EAR', 'Tasken AA', 'Nordal T', 'Grenne B', 'Espeland T', 'Kirkeby-Garstad I', 'Dalen H', 'Holte E', 'Stolen S', 'Aakhus S', 'Kiss G'];European heart journal. Imaging methods and practice;2023 May;Grenne
39034628;Clinical data;Survival model;ICURE: Intensive care unit (ICU) risk evaluation for 30-day mortality. Developing and evaluating a multivariable machine learning prediction model for patients admitted to the general ICU in Sweden.;BACKGROUND: A prediction model that estimates mortality at admission to the intensive care unit (ICU) is of potential benefit to both patients and society. Logistic regression models like Simplified Acute Physiology Score 3 (SAPS 3) and APACHE are the traditional ICU mortality prediction models. With the emergence of machine learning (machine learning) and artificial intelligence, new possibilities arise to create prediction models that have the potential to sharpen predictive accuracy and reduce the likelihood of misclassification in the prediction of 30-day mortality. METHODS: We used the Swedish Intensive Care Registry (SIR) to identify and include all patients >/=18 years of age admitted to general ICUs in Sweden from 2008 to 2022 with SAPS 3 score registered. Only data collected within 1 h of ICU admission was used. We had 153 candidate predictors including baseline characteristics, previous medical conditions, blood works, physiological parameters, cause of admission, and initial treatment. We stratified the data randomly on the outcome variable 30-day mortality and created a training set (80% of data) and a test set (20% of data). We evaluated several hundred prediction models using multiple ML frameworks including random forest, gradient boosting, neural networks, and logistic regression models. Model performance was evaluated by comparing the receiver operator characteristic area under the curve (AUC-ROC). The best performing model was fine-tuned by optimizing hyperparameters. The model's calibration was evaluated by a calibration belt. Ultimately, we simplified the best performing model with the top 1-20 predictors. RESULTS: We included 296,344 first-time ICU admissions. We found age, Glasgow Coma Scale, creatinine, systolic blood pressure, and pH being the most important predictors. The AUC-ROC was 0.884 in test data using all predictors, specificity 95.2%, sensitivity 47.0%, negative predictive value of 87.9% and positive predictive value of 70.7%. The final model showed excellent calibration. The ICU risk evaluation for 30-day mortality (ICURE) prediction model performed equally well to the SAPS 3 score with only eight variables and improved further with the addition of more variables. CONCLUSION: The ICURE prediction model predicts 30-day mortality rate at first-time ICU admission superiorly compared to the established SAPS 3 score.;['Sioland T', 'Rawshani A', 'Nellgard B', 'Malmgren J', 'Oras J', 'Dalla K', 'Cina G', 'Engerstrom L', 'Hessulf F'];Acta anaesthesiologica Scandinavica;2024 Nov;Rawshani
39004698;Clinical data;Survival model;Importance of hospital and clinical factors for early mortality in Takotsubo syndrome: Insights from the Swedish Coronary Angiography and Angioplasty Registry.;BACKGROUND: Takotsubo syndrome (TTS) is an acute heart failure syndrome with symptoms similar to acute myocardial infarction. TTS is often triggered by acute emotional or physical stress and is a significant cause of morbidity and mortality. Predictors of mortality in patients with TS are not well understood, and there is a need to identify high-risk patients and tailor treatment accordingly. This study aimed to assess the importance of various clinical factors in predicting 30-day mortality in TTS patients using a machine learning algorithm. METHODS: We analyzed data from the nationwide Swedish Coronary Angiography and Angioplasty Registry (SCAAR) for all patients with TTS in Sweden between 2015 and 2022. Gradient boosting was used to assess the relative importance of variables in predicting 30-day mortality in TTS patients. RESULTS: Of 3,180 patients hospitalized with TTS, 76.0% were women. The median age was 71.0 years (interquartile range 62-77). The crude all-cause mortality rate was 3.2% at 30 days. Machine learning algorithms by gradient boosting identified treating hospitals as the most important predictor of 30-day mortality. This factor was followed in significance by the clinical indication for angiography, creatinine level, Killip class, and age. Other less important factors included weight, height, and certain medical conditions such as hyperlipidemia and smoking status. CONCLUSIONS: Using machine learning with gradient boosting, we analyzed all Swedish patients diagnosed with TTS over seven years and found that the treating hospital was the most significant predictor of 30-day mortality.;['Gudmundsson T', 'Redfors B', 'Ramunddal T', 'Angeras O', 'Petursson P', 'Rawshani A', 'Hagstrom H', 'Alfredsson J', 'Ekenback C', 'Henareh L', 'Skoglund K', 'Ljungman C', 'Mohammad M', 'Jernberg T', 'Frobert O', 'Erlinge D', 'Omerovic E'];BMC cardiovascular disorders;2024 Jul 15;Rawshani
38992934;Clinical data;Survival model;Aetiology and predictors of outcome in non-shockable in-hospital cardiac arrest: A retrospective cohort study from the Swedish Registry for Cardiopulmonary Resuscitation.;"BACKGROUND: Non-shockable in-hospital cardiac arrest (IHCA) is a condition with diverse aetiology, predictive factors, and outcome. This study aimed to compare IHCA with initial asystole or pulseless electrical activity (PEA), focusing specifically on their aetiologies and the significance of predictive factors. METHODS: Using the Swedish Registry of Cardiopulmonary Resuscitation, adult non-shockable IHCA cases from 2018 to 2022 (n = 5788) were analysed. Exposure was initial rhythm, while survival to hospital discharge was the primary outcome. A random forest model with 28 variables was used to generate permutation-based variable importance for outcome prediction. RESULTS: Overall, 60% of patients (n = 3486) were male and the median age was 75 years (IQR 67-81). The most frequent arrest location (46%) was on general wards. Comorbidities were present in 79% of cases and the most prevalent comorbidity was heart failure (33%). Initial rhythm was PEA in 47% (n = 2702) of patients, and asystole in 53% (n = 3086). The most frequent aetiologies in both PEA and asystole were cardiac ischemia (24% vs. 19%, absolute difference [AD]: 5.4%; 95% confidence interval [CI] 3.0% to 7.7%), and respiratory failure (14% vs. 13%, no significant difference). Survival was higher in asystole (24%) than in PEA (17%) (AD: 7.3%; 95% CI 5.2% to 9.4%). Cardiopulmonary resuscitation (CPR) durations were longer in PEA, 18 vs 15 min (AD 4.9 min, 95% CI 4.0-5.9 min). The duration of CPR was the single most important predictor of survival across all subgroup and sensitivity analyses. Aetiology ranked as the second most important predictor in most analyses, except in the asystole subgroup where responsiveness at cardiac arrest team arrival took precedence. CONCLUSIONS: In this nationwide registry study of non-shockable IHCA comparing asystole to PEA, cardiac ischemia and respiratory failure were the predominant aetiologies. Duration of CPR was the most important predictor of survival, followed by aetiology. Asystole was associated with higher survival compared to PEA, possibly due to shorter CPR durations and a larger proportion of reversible aetiologies.";['Bruchfeld S', 'Ullemark E', 'Riva G', 'Ohm J', 'Rawshani A', 'Djarv T'];Acta anaesthesiologica Scandinavica;2024 Nov;Rawshani
